c,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,total_n_valid_data_points,tstart,tstop
1,0.040767669677734375,1105145,1105150,8.210391762802379,0.2608386722179071,34998,35003,41709.0,869.5195084630614,869.5229143014803
1,0.08351302146911621,1114533,1114543,15.951490728875974,0.3132224748637646,1673,1683,45613.0,875.9141221419704,875.9209336133354
1,0.09078001976013184,1134824,1134836,20.629344494501957,0.3663395687838224,21890,21902,45613.0,889.7352622307662,889.7434361308842
0.5,0.04244434833526611,1181155,1181159,6.483780250577471,0.325457501600287,21164,21168,43978.0,921.2931755837708,921.2959000473347
-0.5,0.03746235370635986,1258379,1258385,8.72397689626836,0.4307223585285387,5587,5590,44061.0,973.8923744637141,973.8964611222691
0.5,0.012856245040893555,1309352,1309359,4.339448322168895,0.3275438255149847,10853,10860,45180.0,1008.6103530758701,1008.6151207289513
1,0.08865642547607422,1354738,1354756,35.364408897323074,0.5223817603036227,9470,9488,43543.0,1039.522525738852,1039.5347855279033
1,0.0694570541381836,1356807,1356840,47.25963190555488,0.7080518347726307,11539,11572,43543.0,1040.9317044394484,1040.954180497305
1,0.07668626308441162,1372112,1372129,24.936424654495813,0.4643023285077242,26689,26706,43543.0,1051.355805092302,1051.3673835952068
1,0.16202127933502197,1413850,1413886,93.85228527827462,0.7136195138376633,19419,19455,46311.0,1079.7831924195052,1079.807711876485
0,0.0176771879196167,1621727,1621730,2.5320408526256912,0.23982135706917268,8139,8142,42289.0,1221.3729712564746,1221.3750147386963
1,0.05542910099029541,1627036,1627040,7.0736547664286,0.23782309305753527,13435,13439,42289.0,1224.9891846131795,1224.9919091238917
0.5,0.018373847007751465,1771200,1771203,2.571058239998635,0.20573292369746726,24925,24928,44146.0,1323.1850367628722,1323.1870800738106
0.5,0.022075295448303223,1792219,1792225,5.750819433273012,0.3499407930141243,488,493,49956.0,1337.501508259782,1337.5055949420857
1,0.04072737693786621,1815937,1815941,6.016405480000893,0.23245547410497544,24111,24115,49956.0,1353.6561591942154,1353.6588835532384
0,0.015321969985961914,1945268,1945271,2.2535657810248644,0.21104631138616692,8069,8072,51068.0,1441.7430133568996,1441.745056572472
1,0.05245554447174072,1948146,1948150,7.670755243481601,0.2238433436695889,10947,10951,51068.0,1443.7031966774302,1443.7059210660373
0.5,0.02581322193145752,1955834,1955837,3.202218560755803,0.202439963133013,18604,18607,51068.0,1448.9394379069126,1448.9414813262192
0.5,0.02588677406311035,1992713,1992716,3.953288865280495,0.32241587025827284,2849,2852,7622.0,1474.0575847004802,1474.059628042858

